ASV,ITSclade,ITStype
asv1001,A,A2
asv1074,A,A1
asv1188,A,A1
asv1235,A,A2
asv1261,A,A1
asv1341,A,A2
asv137,A,A1
asv148,A,A1
asv1488,A,A2
asv149,A,A1
asv1617,A,A2
asv1660,A,A1
asv1689,A,A
asv1997,A,A1
asv2005,A,A1
asv221,A,A2
asv224,A,A2
asv228,A,A
asv2280,A,A2
asv2357,A,A1
asv2378,A,A1
asv25,A,A2
asv2553,A,A1
asv2754,A,A1
asv2830,A,A3
asv3083,A,A1
asv3798,A,A1
asv4369,A,A2
asv4370,A,A1
asv448,A,A1
asv449,A,A2
asv454,A,A2
asv492,A,A1
asv547,A,A2
asv604,A,A2
asv606,A,A2
asv618,A,A1
asv625,A,A1
asv640,A,A2
asv693,A,A1
asv756,A,A2
asv765,A,A2
asv779,A,A1
asv790,A,A1
asv793,A,A1
asv809,A,A2
asv831,A,A2
asv838,A,A2
asv860,A,A2
asv1,C,C1
asv1005,C,C
asv101,C,C
asv1019,C,C3
asv102,C,C
asv1023,C,C1
asv1033,C,C1
asv1037,C,C4
asv1039,C,C4
asv1042,C,C4
asv1046,C,C
asv105,C,C
asv1055,C,C
asv106,C,C1
asv1060,C,C
asv1067,C,C
asv107,C,C1
asv1078,C,C3
asv108,C,C1
asv1085,C,C1
asv1090,C,C
asv1093,C,C1
asv1098,C,C1
asv1108,C,C1
asv1110,C,C
asv112,C,C1
asv1124,C,C1
asv114,C,C
asv1144,C,C
asv1149,C,C
asv1153,C,C1
asv1156,C,C
asv1158,C,C3
asv1167,C,C1
asv117,C,C1
asv1172,C,C4
asv1175,C,C
asv1185,C,C
asv119,C,C
asv12,C,C1
asv120,C,C
asv1202,C,C
asv1205,C,C
asv1209,C,C
asv121,C,C4
asv1216,C,C
asv1227,C,C1
asv1228,C,C1
asv123,C,C
asv1236,C,C3
asv1239,C,C1
asv1247,C,C1
asv125,C,C
asv1252,C,C1
asv1256,C,C1
asv1265,C,C1
asv127,C,C1
asv128,C,C
asv1284,C,C
asv1285,C,C
asv1293,C,C
asv1295,C,C
asv1296,C,C
asv13,C,C
asv1302,C,C
asv1309,C,C
asv131,C,C
asv1310,C,C1
asv132,C,C1
asv133,C,C
asv134,C,C3
asv135,C,C
asv136,C,C
asv1360,C,C1
asv1363,C,C
asv1378,C,C3
asv138,C,C1
asv1389,C,C1
asv139,C,C
asv1405,C,C1
asv1408,C,C
asv1426,C,C
asv1436,C,C
asv144,C,C1
asv1441,C,C1
asv1448,C,C1
asv1457,C,C4
asv146,C,C
asv147,C,C1
asv1476,C,C
asv1482,C,C1
asv1497,C,C
asv15,C,C3
asv150,C,C4
asv1502,C,C4
asv1505,C,C
asv1511,C,C
asv1517,C,C
asv1519,C,C
asv152,C,C
asv1523,C,C1
asv153,C,C
asv154,C,C
asv1544,C,C4
asv1545,C,C1
asv155,C,C1
asv1561,C,C1
asv157,C,C3
asv159,C,C
asv1594,C,C1
asv1595,C,C
asv1599,C,C1
asv160,C,C4
asv1601,C,C3
asv161,C,C4
asv1610,C,C1
asv1616,C,C
asv163,C,C
asv1633,C,C
asv164,C,C
asv1653,C,C
asv1668,C,C4
asv167,C,C1
asv1678,C,C
asv1686,C,C1
asv1687,C,C
asv1690,C,C
asv1693,C,C
asv1696,C,C
asv17,C,C
asv1704,C,C
asv171,C,C
asv1711,C,C
asv1715,C,C4
asv1719,C,C
asv1729,C,C1
asv173,C,C4
asv1737,C,C1
asv175,C,C1
asv176,C,C
asv1762,C,C1
asv1768,C,C1
asv177,C,C4
asv178,C,C
asv1784,C,C1
asv1786,C,C1
asv179,C,C
asv1792,C,C
asv1799,C,C4
asv18,C,C
asv180,C,C
asv1809,C,C1
asv1810,C,C1
asv182,C,C1
asv1827,C,C1
asv1828,C,C1
