ASV,ITSclade,ITStype
asv135,A,A1
asv441,A,A1
asv649,A,A1
asv1212,A,A1
asv1847,A,A1
asv2260,A,A1
asv3045,A,A1
asv4205,A,A1
asv9973,A,A1
asv9651,A,A1
asv140,A,A1
asv702,A,A1
asv1100,A,A1
asv2151,A,A1
asv10527,A,A1
asv1582,A,A1
asv143,A,A1
asv569,A,A1
asv710,A,A1
asv1918,A,A1
asv2722,A,A1
asv464,A,A1
asv2440,A,A1
asv6849,A,A1
asv717,A,A1
asv24,A,A1
asv211,A,A1
asv214,A,A1
asv217,A,A1
asv437,A,A1
asv439,A,A1
asv503,A,A1
asv561,A,A1
asv582,A,A1
asv666,A,A1
asv707,A,A1
asv738,A,A1
asv887,A,A1
asv1157,A,A1
asv1473,A,A1
asv1557,A,A1
asv2062,A,A1
asv3049,A,A1
asv3124,A,A1
asv5589,A,A2
asv2785,A,A3
asv535,B,B1
asv5748,B,B1
asv8319,B,B1
asv171,C,C1
asv784,C,C1
asv929,C,C1
asv1314,C,C1
asv1841,C,C1
asv2222,C,C1
asv2231,C,C1
asv2386,C,C1
asv2519,C,C1
asv2520,C,C1
asv2964,C,C1
asv4503,C,C1
asv10448,C,C1
asv11805,C,C1
asv48,C,C1
asv82,C,C1
asv93,C,C1
asv102,C,C1
asv176,C,C1
asv258,C,C1
asv311,C,C1
asv332,C,C1
asv359,C,C1
asv426,C,C1
asv869,C,C1
asv910,C,C1
asv982,C,C1
asv1004,C,C1
asv1109,C,C1
asv1163,C,C1
asv1227,C,C1
asv1258,C,C1
asv1276,C,C1
asv1416,C,C1
asv1670,C,C1
asv1777,C,C1
asv1851,C,C1
asv1945,C,C1
asv2014,C,C1
asv2119,C,C1
asv2290,C,C1
asv2357,C,C1
asv3123,C,C1
asv3147,C,C1
asv4923,C,C1
asv5105,C,C1
asv8541,C,C1
asv8770,C,C1
asv8771,C,C1
asv9622,C,C1
asv10449,C,C1
asv10496,C,C1
asv10503,C,C1
asv2585,C,C1
asv2356,C,C1
asv494,C,C1
asv5498,C,C1
asv6423,C,C1
asv8772,C,C1
asv9638,C,C1
asv737,C,C1
asv1966,C,C1
asv1051,C,C1
asv1129,C,C1
asv1574,C,C1
asv2557,C,C1
asv2686,C,C1
asv19,C,C1
asv114,C,C1
asv190,C,C1
